2026-02-04 19:55:34,171 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 19:55:34,171 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 19:55:41,092 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 19:55:41,092 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 19:56:03,172 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 19:56:03,172 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 19:57:55,321 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 19:57:55,321 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 19:58:46,020 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 19:58:46,020 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 19:59:22,959 | tvDatafeed.main | ERROR | Connection to remote host was lost.
2026-02-04 19:59:22,959 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:00:14,016 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:00:14,016 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:01:01,716 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:01:01,716 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:01:34,896 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:01:34,896 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:01:43,711 | tvDatafeed.main | ERROR | Connection to remote host was lost.
2026-02-04 20:01:43,711 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:03:23,392 | tvDatafeed.main | ERROR | Connection to remote host was lost.
2026-02-04 20:03:23,393 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:04:27,429 | pyfolio_core.core.StockService | ERROR | Bulk Loading Error: Binder Error: Referenced column "event_date" not found in FROM clause!
Candidate bindings: "_event_date", "_open", "query_time", "volume"

LINE 2:                          SELECT symbol, event_date, open, high, low, close, volume FROM df
                                                ^
2026-02-04 20:20:46,820 | PyFolio-Core | ERROR | DuckDB Connection Error: IO Error: Could not set lock on file "/home/valjean/Documents/Databases/Portfolio/duckdb/GlobalMarket.duckdb": Conflicting lock is held in /usr/share/dbeaver-ce/jre/bin/java (PID 66527). See also https://duckdb.org/docs/stable/connect/concurrency
2026-02-04 20:22:15,712 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:22:15,712 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:22:48,064 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:22:48,064 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:22:54,644 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:22:54,644 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:23:03,292 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:23:03,292 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:23:32,842 | tvDatafeed.main | ERROR | Connection to remote host was lost.
2026-02-04 20:23:32,842 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:27:15,762 | tvDatafeed.main | ERROR | Connection to remote host was lost.
2026-02-04 20:27:15,763 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:27:35,380 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:27:35,380 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:28:11,756 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:28:11,756 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:28:21,196 | tvDatafeed.main | ERROR | Connection to remote host was lost.
2026-02-04 20:28:21,196 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:29:15,084 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:29:15,084 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:30:31,368 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:30:31,368 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:31:36,228 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:31:36,228 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:31:57,776 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:31:57,776 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:32:33,100 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:32:33,100 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:36:44,368 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:36:44,368 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:37:04,732 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:37:04,732 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:38:01,060 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:38:01,060 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:40:50,272 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:40:50,272 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:41:25,544 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:41:25,544 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:41:46,912 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:41:46,912 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:41:50,934 | tvDatafeed.main | ERROR | Connection to remote host was lost.
2026-02-04 20:41:50,935 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:42:43,020 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:42:43,020 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:42:49,616 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:42:49,616 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:43:28,160 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:43:28,160 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:44:02,236 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:44:02,236 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:45:02,936 | tvDatafeed.main | ERROR | Connection to remote host was lost.
2026-02-04 20:45:02,936 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
2026-02-04 20:45:30,356 | tvDatafeed.main | ERROR | Connection timed out
2026-02-04 20:45:30,356 | tvDatafeed.main | ERROR | no data, please check the exchange and symbol
